WB,n
SE0101010301-C,2
SE552170-130626,40
SE552500-124461,37
SE552670-142281,2
SE553730-128890,2
SE554040-125750,37
SE554500-125001,22
SE554800-142001,35
SE554810-125240,37
SE555545-124332,37
SE560200-143175,2
SE560205-143545,38
SE560385-154500,6
SE560500-154435,4
SE560500-154880,36
SE560700-155801,39
SE560740-144375,5
SE560775-153055,38
SE560780-153500,39
SE560790-145850,5
SE560795-154730,36
SE560810-153980,38
SE560825-144215,39
SE560850-150580,2
SE560900-145280,39
SE560940-151740,39
SE561000-150390,4
SE561000-153320,3
SE561005-150250,36
SE561030-122821,39
SE561150-147620,5
SE561400-161201,40
SE561480-148220,3
SE562000-123800,42
SE562000-162271,2
SE562290-124131,3
SE562410-164001,2
SE562450-122751,12
SE563000-123351,11
SE563330-124600,43
SE563825-161810,36
SE564250-162500,36
SE564500-122601,5
SE565400-163600,36
SE565800-163000,36
SE570000-120701,43
SE570000-170351,2
SE570080-163430,36
SE570340-163710,36
SE570450-180651,2
SE570500-163750,38
SE570900-121060,1
SE570900-164501,6
SE571000-184001,13
SE571240-121000,4
SE571450-163320,4
SE571552-162848,36
SE571720-120640,3
SE571800-184300,10
SE572000-163835,2
SE572000-180001,3
SE572072-115880,6
SE572135-120141,41
SE572205-163500,36
SE572227-115662,4
SE572308-115550,5
SE572350-180930,19
SE572472-120302,40
SE572500-164500,38
SE572540-114801,41
SE572810-164500,2
SE573044-115355,5
SE573300-113801,5
SE573322-115478,2
SE573500-115150,19
SE573500-163500,36
SE573500-164660,4
SE573940-163560,36
SE574000-114230,41
SE574050-114780,41
SE574160-113351,3
SE574170-190001,23
SE574440-164160,4
SE574450-165451,3
SE574500-164500,2
SE574650-114360,1
SE574750-164500,2
SE574870-113795,3
SE574931-113131,4
SE575000-163620,3
SE575095-164630,2
SE575150-162700,36
SE575150-190400,20
SE575170-183550,20
SE575335-165000,2
SE575340-113000,43
SE575370-164220,36
SE575500-113750,41
SE575700-114240,24
SE575747-113237,1
SE575760-112671,1
SE580000-164060,41
SE580000-164500,15
SE580025-113168,1
SE580150-191251,2
SE580205-165162,4
SE580240-112501,4
SE580325-113500,37
SE580500-111801,6
SE580500-114725,38
SE580550-112460,3
SE580585-164720,38
SE580610-113615,36
SE580688-114860,42
SE580735-165296,37
SE580950-170601,2
SE581000-164020,37
SE581120-112680,37
SE581240-165220,22
SE581260-113220,41
SE581280-170070,22
SE581365-112910,36
SE581520-165000,39
SE581540-114000,1
SE581700-113000,43
SE581740-114820,42
SE581740-170260,2
SE581748-112411,1
SE581820-165500,2
SE581853-112736,36
SE581900-171101,2
SE581960-164890,18
SE582000-112350,42
SE582000-115270,38
SE582050-165820,43
SE582147-111771,38
SE582150-112530,37
SE582230-112255,37
SE582302-111451,1
SE582460-164500,43
SE582500-113890,2
SE582590-165000,19
SE582600-163810,2
SE582600-165680,2
SE582630-113515,36
SE582665-111706,36
SE582700-110451,27
SE582705-163350,41
SE582820-165920,2
SE582850-111760,36
SE583000-165600,32
SE583121-171401,4
SE583160-111551,2
SE583370-165290,2
SE583625-111300,4
SE583710-111535,37
SE583718-161687,36
SE583720-172571,4
SE583730-164501,41
SE583825-163500,20
SE583875-170270,20
SE583926-161744,41
SE583970-170280,16
SE584030-111400,36
SE584085-171600,17
SE584200-105901,4
SE584227-171600,20
SE584333-172895,2
SE584340-174401,40
SE584390-172085,17
SE584400-116000,2
SE584400-172270,21
SE584420-172515,2
SE584430-170665,20
SE584450-111445,36
SE584520-172495,4
SE584600-173200,18
SE584670-111300,36
SE584725-111050,2
SE584750-111185,36
SE584820-172920,18
SE584840-175400,2
SE584870-174310,17
SE584890-110950,36
SE584905-172980,16
SE584960-175280,20
SE585040-173535,21
SE585075-173130,16
SE585100-110600,41
SE585170-175445,3
SE585200-111140,36
SE585200-174000,16
SE585345-174950,20
SE585350-182001,2
SE585400-110400,1
SE585400-173870,2
SE585600-110880,36
SE585797-181090,32
SE585990-111125,36
SE590000-183000,17
SE590148-183625,2
SE590385-180890,31
SE590400-174090,20
SE590550-174540,20
SE590635-182120,2
SE590730-183763,2
SE590740-174135,22
SE590835-183000,2
SE590990-174015,20
SE591050-182740,17
SE591090-182300,16
SE591160-182400,16
SE591200-183600,17
SE591280-182070,4
SE591300-182800,25
SE591400-182320,9
SE591400-183200,28
SE591500-185300,2
SE591655-183200,16
SE591745-182250,20
SE591760-181955,17
SE591800-181360,8
SE591815-182670,3
SE591905-185275,16
SE591920-180800,17
SE592000-184700,17
SE592000-190500,4
SE592040-184000,29
SE592090-185125,2
SE592100-192001,3
SE592135-182700,8
SE592245-184400,30
SE592290-181600,18
SE592315-182620,16
SE592400-180800,37
SE592400-184400,2
SE592420-182210,20
SE592468-182000,8
SE592500-185000,2
SE592500-191750,2
SE592600-181135,16
SE592600-181600,2
SE592605-182310,16
SE592640-184500,17
SE592790-183000,24
SE593000-190500,16
SE593000-192000,4
SE593080-184500,2
SE593180-191280,21
SE593300-183600,16
SE593330-192540,3
SE593500-190000,5
SE593500-191660,3
SE593750-183962,37
SE593750-184900,24
SE593820-185500,16
SE594100-185690,18
SE594200-192000,21
SE594340-190448,18
SE594350-190530,10
SE594384-185542,2
SE594670-185500,39
SE594800-190220,35
SE594800-190655,17
SE594845-191240,21
SE595000-185600,8
SE595000-191501,9
SE600565-184600,36
SE600740-183460,39
SE601000-183510,37
SE601000-184030,34
SE601020-185050,5
SE601070-182870,15
SE601300-182880,29
SE601300-184180,16
SE601310-183700,16
SE601440-184000,2
SE601660-183550,21
SE602120-181610,10
SE602400-183190,18
SE603000-181500,4
SE603190-174000,23
SE603650-174500,3
SE603870-181301,19
SE604055-171248,1
SE604200-171765,1
SE604200-174400,28
SE604250-173000,22
SE604675-172125,16
SE604900-171700,19
SE605140-171674,8
SE605390-171558,9
SE605660-172380,10
SE605760-171000,17
SE611000-171500,22
SE611213-171063,21
SE611600-171500,20
SE611676-171000,19
SE611766-171305,4
SE612303-171075,4
SE612520-172080,5
SE612791-171130,4
SE613240-171000,36
SE613500-171000,34
SE613500-172500,33
SE613591-171000,36
SE613760-171000,34
SE614165-171500,36
SE614633-134828,4
SE614785-132662,2
SE614913-135332,4
SE615019-138172,4
SE615199-135961,4
SE615375-137087,31
SE615640-133329,4
SE615640-138920,4
SE615816-139496,4
SE615899-136823,2
SE616179-138195,4
SE616372-133601,4
SE616711-133218,4
SE616862-134337,4
SE616936-135849,2
SE617666-135851,3
SE617710-138599,4
SE617797-135339,31
SE617883-135553,4
SE618096-133078,4
SE618108-135936,2
SE618685-133000,4
SE618722-135547,4
SE619293-136357,2
SE619310-132303,2
SE619484-133609,4
SE619626-135565,6
SE619628-138871,4
SE619690-175690,12
SE619696-132890,2
SE620062-135224,6
SE620149-136633,4
SE620341-139491,4
SE620402-135859,4
SE620406-140165,3
SE620565-131931,4
SE621157-148904,5
SE621265-173125,10
SE621484-141720,4
SE621613-132747,4
SE621643-134041,4
SE621669-141629,6
SE621688-144133,39
SE621720-175130,8
SE621766-140032,3
SE621804-139059,4
SE621920-175280,1
SE622000-172300,37
SE622011-146303,5
SE622080-176120,8
SE622126-172430,38
SE622339-172190,37
SE622349-135317,3
SE622393-134839,4
SE622476-133505,2
SE622500-172430,37
SE622613-133144,4
SE622639-133859,2
SE622731-136920,6
SE622741-132411,4
SE622795-174565,11
SE622819-135418,2
SE622842-142704,4
SE622860-173000,37
SE622893-138841,4
SE622900-174790,9
SE622971-146074,4
SE623021-146784,2
SE623033-132783,2
SE623047-144179,4
SE623082-142902,4
SE623251-138203,2
SE623300-176210,11
SE623340-175556,26
