Vatten-ID	Namn Vatten	Huvudavrinningsområde	Län	Kommun(er)	Distrikt	Vattenkategori	Vattnet är vattenförekomst/övrigt vatten	Vattentyp - Sjö	Limnisk vattentypsregion	Medeldjup (m)	Alkalinitet (mekv/l)	Humus (mg Pt/l)
SE748913-160764	Kårtjejaure	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523, Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE744815-167640	Stainasjaure	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE718794-173714	Eggelidtjärnen	Skellefteälven - SE20000	Västerbotten - 24	Skellefteå - 2482	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE739482-169994	Östersjön	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE730798-150828	Sköruvjaure	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	Bottenviken	LW	Vattenförekomst	4-LK	4		L	K
SE713452-172410	Bjännsjön	Dalkarlsån - SE25000	Västerbotten - 24	Robertsfors - 2409	Bottenviken	LW	Vattenförekomst	2GLB	2	G	L	B
SE755413-168450	Alajaure	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE757875-177381	Narkajärvi	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE746309-182773	Sattajärvi	Torneälven - SE1000	Norrbotten - 25	Pajala - 2521	Bottenviken	LW	Vattenförekomst	2GLB	2	G	L	B
SE714157-165467	Byssträsket	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481, Vindeln - 2404	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE733529-148578	Laivajaure	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE729068-833633	Hertsöfjärden	Kustområde - SE8009	Norrbotten - 25	Luleå - 2580	Bottenviken	LW	Preliminär vattenförekomst	2-LB	2		L	B
SE730295-146287	Maisor	Umeälven - SE28000	Västerbotten - 24	Storuman - 2421	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE731190-169831	Nörd-Grundträsket	Piteälven - SE13000	Norrbotten - 25	Älvsbyn - 2560	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE738871-158813	Hålkåsjaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE743401-162119	Tjaktjajaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3DLK	3	D	L	K
SE719963-173326	Varuträsket	Skellefteälven - SE20000	Västerbotten - 24	Skellefteå - 2482	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE733572-187109	Iso Karsikkojärvi	Kustområde - SE1002	Norrbotten - 25	Haparanda - 2583	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE734000-172910	Bodträsket	Luleälven - SE9000	Norrbotten - 25	Boden - 2582	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
