EU_CD Vatten	Namn Vatten	Huvudavrinningsområde	Län	Kommun(er)	Myndighet	Distrikt	Åtgärdsområde	Vattenkategori	Vattnet är vattenförekomst/övrigt vatten	Allmänna uppgifter	Vattentyp - Sjö	Vattenkategori	Limnisk ekoregion/Kustvattentyp	Djupkategori	Yta	Färg (Humus)	Bakgrundsalkalinitet
SE656188-128168	Lyssjö	Göta älv - SE108000	Västra Götaland - 14	Bengtsfors - 1460, Dals-Ed - 1438	SE5	SE5	Upperudsälven	LW	Vattenförekomst	NV(F)	S6DSNN	S	6	D	S	N	N
SE654493-128700	Torrsjön	Göta älv - SE108000	Västra Götaland - 14	Bengtsfors - 1460, Dals-Ed - 1438	SE5	SE5	Upperudsälven	LW	Vattenförekomst	NV(F)	S6DSYN	S	6	D	S	Y	N
SE654007-128871	Grann	Göta älv - SE108000	Västra Götaland - 14	Bengtsfors - 1460, Dals-Ed - 1438	SE5	SE5	Upperudsälven	LW	Vattenförekomst	NV(F)	S6DSNN	S	6	D	S	N	N
SE642138-130063	Mjörn	Göta älv - SE108000	Västra Götaland - 14	Alingsås - 1489, Lerum - 1441	SE5	SE5	Säveån	LW	Vattenförekomst	NV(F)	S6DLNN	S	6	D	L	N	N
SE641461-129543	Sävelången	Göta älv - SE108000	Västra Götaland - 14	Alingsås - 1489, Lerum - 1441	SE5	SE5	Säveån	LW	Vattenförekomst	NV(F)	S6DSNN	S	6	D	S	N	N
SE643591-132677	Kvinnestadsjön	Göta älv - SE108000	Västra Götaland - 14	Vårgårda - 1442	SE5	SE5	Säveån	LW	Vattenförekomst	NV(F)	S6SSYN	S	6	S	S	Y	N
SE643134-132942	Ornungasjö	Göta älv - SE108000	Västra Götaland - 14	Vårgårda - 1442	SE5	SE5	Säveån	LW	Vattenförekomst	NV(F)	S6DSYN	S	6	D	S	Y	N
SE642608-132524	Säven	Göta älv - SE108000	Västra Götaland - 14	Borås - 1490, Vårgårda - 1442	SE5	SE5	Säveån	LW	Vattenförekomst	NV(F)	S6DLYN	S	6	D	L	Y	N
SE654863-140389	Vänern - Kolstrandsviken	Göta älv - SE108000	Västra Götaland - 14, Värmland - 17	Gullspång - 1447, Kristinehamn - 1781	SE5	SE5	Vänern och dess närområden	LW	Vattenförekomst	NV(F)	S6SSYN	S	6	S	S	Y	N
SE654174-140266	Skagern	Göta älv - SE108000	Örebro - 18, Västra Götaland - 14, Värmland - 17	Degerfors - 1862, Gullspång - 1447, Kristinehamn - 1781, Laxå - 1860	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S6DLNN	S	6	D	L	N	N
SE655143-130307	Haresjön	Göta älv - SE108000	Västra Götaland - 14	Bengtsfors - 1460	SE5	SE5	Upperudsälven	LW	Vattenförekomst	NV(F)	S6SSYN	S	6	S	S	Y	N
SE655218-129201	Ärtingen	Göta älv - SE108000	Västra Götaland - 14	Bengtsfors - 1460	SE5	SE5	Upperudsälven	LW	Vattenförekomst	NV(F)	S6DSNN	S	6	D	S	N	N
SE654031-129719	Laxsjön	Göta älv - SE108000	Västra Götaland - 14	Bengtsfors - 1460	SE5	SE5	Upperudsälven	LW	Vattenförekomst	NV(F)	S6DLNN	S	6	D	L	N	N
SE654781-129551	Bengtsbrohöljen	Göta älv - SE108000	Västra Götaland - 14	Bengtsfors - 1460	SE5	SE5	Upperudsälven	LW	Vattenförekomst	NV(F)	S6DSNN	S	6	D	S	N	N
SE650859-129838	Örsjön	Göta älv - SE108000	Västra Götaland - 14	Mellerud - 1461	SE5	SE5	Dalbergså och Holmsån	LW	Vattenförekomst	NV(F)	S6DSYN	S	6	D	S	Y	N
SE653090-129507	Gällsjön	Göta älv - SE108000	Västra Götaland - 14	Bengtsfors - 1460, Mellerud - 1461	SE5	SE5	Dalbergså och Holmsån	LW	Vattenförekomst	NV(F)	S6DSYN	S	6	D	S	Y	N
SE653041-130112	Erve	Göta älv - SE108000	Västra Götaland - 14	Bengtsfors - 1460, Mellerud - 1461	SE5	SE5	Upperudsälven	LW	Vattenförekomst	NV(F)	S6DSYN	S	6	D	S	Y	N
SE652711-130383	Åklång	Göta älv - SE108000	Västra Götaland - 14	Bengtsfors - 1460, Mellerud - 1461	SE5	SE5	Upperudsälven	LW	Vattenförekomst	NV(F)	S6DSNN	S	6	D	S	N	N
SE650398-139136	Ymsen	Göta älv - SE108000	Västra Götaland - 14	Mariestad - 1493, Töreboda - 1473	SE5	SE5	Tidan	LW	Vattenförekomst	NV(F)	S6SLNN	S	6	S	L	N	N
SE646802-129905	Hullsjön	Göta älv - SE108000	Västra Götaland - 14	Trollhättan - 1488, Vänersborg - 1487	SE5	SE5	Göta älv huvudfåra	LW	Vattenförekomst	NV(F)	S6SSYY	S	6	S	S	Y	Y
