EU_CD Vatten	Namn Vatten	Huvudavrinningsområde	Län	Kommun(er)	Myndighet	Distrikt	Åtgärdsområde	Vattenkategori	Vattnet är vattenförekomst/övrigt vatten	Tillkomst/härkomst	Vattentyp - Vattendrag	Vattenkategori	Limnisk ekoregion/Kustvattentyp	Avrinningsområde	Färg (Humus)	Bakgrundsalkalinitet
SE759178-178864	Luongasjoki	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	SE1	SE1TO	Torneälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE758909-175691	Idijoki	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	SE1	SE1TO	Torneälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE761335-169226	Lainioälven	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	SE1	SE1TO	Torneälven med kustvatten	RW	Vattenförekomst	NV(F)	V1LNN	V	1	L	N	N
SE762532-170541	Råstätno	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	SE1	SE1TO	Torneälven med kustvatten	RW	Vattenförekomst	NV(F)	V1LNN	V	1	L	N	N
SE755253-166945	Njuotjanjåkka	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	SE1	SE1TO	Torneälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE755179-166108	Rautasälven	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	SE1	SE1TO	Torneälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE754885-172264	Sekkujoki	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	SE1	SE1TO	Torneälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE761487-172515	Lafoljåkkå	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	SE1	SE1TO	Torneälven med kustvatten	RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE756180-180226	Merasjoki	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584, Pajala - 2521	SE1	SE1TO	Torneälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LYN	V	2	L	Y	N
SE759679-172503	Pulsujoki	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	SE1	SE1TO	Torneälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE763943-172074	Vittankijoki	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	SE1	SE1TO	Torneälven med kustvatten	RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE757507-167788	Stalojåkka	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	SE1	SE1TO	Torneälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE759435-172262	Muljokjåkka	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	SE1	SE1TO	Torneälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE758663-178307	Kurusjoki	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	SE1	SE1TO	Torneälven med kustvatten	RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE758706-167256	Rakisätno	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	SE1	SE1TO	Torneälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE757548-173867	Verkasjoki	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	SE1	SE1TO	Torneälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
